crypto.BTC.address,BTC,BTC,BTC
crypto.B2M.version.MATIC.address,EVM,MATIC,B2M
crypto.B2M.version.BEP20.address,EVM,BSC,B2M
crypto.B2M.version.ERC20.address,EVM,ETH,B2M
crypto.ETH.address,EVM,ETH,ETH
crypto.ZIL.address,ZIL,ZIL,ZIL
crypto.LTC.address,LTC,LTC,LTC
crypto.ETC.address,EVM,ETC,ETC
crypto.EQL.address,BNB,BNB,EQL
crypto.LINK.address,EVM,ETH,LINK
crypto.USDC.address,EVM,ETH,USDC
crypto.USDC.version.ERC20.address,EVM,ETH,USDC
crypto.USDC.version.OKT.address,EVM,OKT,USDC
crypto.USDC.version.MATIC.address,EVM,MATIC,USDC
crypto.USDC.version.SOL.address,SOL,SOL,USDC
crypto.USDC.version.AVAX.address,EVM,AVAX,USDC
crypto.BAT.address,EVM,ETH,BAT
crypto.REP.address,EVM,ETH,REP
crypto.ZRX.address,EVM,ETH,ZRX
crypto.DAI.address,EVM,ETH,DAI
crypto.BCH.address,BCH,BCH,BCH
crypto.XMR.address,XMR,XMR,XMR
crypto.DASH.address,DASH,DASH,DASH
crypto.NEO.address,NEO,NEO,NEO
crypto.SWTH.address,EVM,ETH,SWTH
crypto.DOGE.address,DOGE,DOGE,DOGE
crypto.XRP.address,XRP,XRP,XRP
crypto.ZEC.address,ZEC,ZEC,ZEC
crypto.YEC.address,YEC,YEC,YEC
crypto.ADA.address,ADA,ADA,ADA
crypto.EOS.address,EOSIO,EOSIO,EOS
crypto.XLM.address,XLM,XLM,XLM
crypto.BNB.address,BNB,BNB,BNB
crypto.BNB.version.BEP2.address,BNB,BNB,BNB
crypto.BNB.version.BEP20.address,EVM,BSC,BNB
crypto.BTG.address,BTG,BTG,BTG
crypto.NANO.address,NANO,NANO,NANO
crypto.WAVES.address,WAVES,WAVES,WAVES
crypto.KMD.address,KMD,KMD,KMD
crypto.AE.address,AE,AE,AE
crypto.RSK.address,EVM,RSK,RSK
crypto.WAN.address,EVM,WAN,WAN
crypto.UBQ.address,EVM,UBQ,UBQ
crypto.XTZ.address,XTZ,XTZ,XTZ
crypto.IOTA.address,IOTA,IOTA,IOTA
crypto.VET.address,EVM,VET,VET
crypto.QTUM.address,QTUM,QTUM,QTUM
crypto.ICX.address,EVM,ICX,ICX
crypto.DGB.address,DGB,DGB,DGB
crypto.XZC.address,XZC,XZC,XZC
crypto.FIRO.address,FIRO,FIRO,FIRO
crypto.DCR.address,DCR,DCR,DCR
crypto.XEM.address,XEM,XEM,XEM
crypto.LSK.address,LSK,LSK,LSK
crypto.ATOM.address,ATOM,ATOM,ATOM
crypto.ONG.address,ONT,ONT,ONG
crypto.ONT.address,ONT,ONT,ONT
crypto.SMART.address,SMART,SMART,SMART
crypto.TPAY.address,TPAY,TPAY,TPAY
crypto.GRS.address,GRS,GRS,GRS
crypto.BSV.address,BCH,BSV,BSV
crypto.GAS.address,NEO,NEO,GAS
crypto.TRX.address,TRX,TRX,TRX
crypto.VTHO.address,EVM,VET,VTHO
crypto.BCD.address,BTC,BCD,BCD
crypto.KIN.address,SOL,SOL,KIN
crypto.RVN.address,RVN,RVN,RVN
crypto.ARK.address,ARK,ARK,ARK
crypto.XVG.address,XVG,XVG,XVG
crypto.ALGO.address,ALGO,ALGO,ALGO
