key,name,shortName,mapFrom,mapTo,networkKey,networkName,networkShortName,familyKey,familyName,familyShortName,validationRegex,validationCaseSensitive
token.0ZK.0ZK_ETH.ETH.address,Ether,ETH,crypto.0ZK.version.0ZK.address|crypto.0ZK.version.ERC20.address,crypto.0ZK.version.0ZK.address,token.0ZK.0ZK_ETH.address,0ZK_ETH,0ZK_ETH,token.0ZK.address,Railgun,0ZK,^0zk1([qpzry9x8gf2tvdw0s3jn54khce6mua7l]{52})([pr98ftd03n4hemal])(rv7j6fe3z53l)([ce6mua7l])([qpzry9x8gf2tvdw0s3jn54khce6mua7l]{57})$,TRUE
token.ADA.ADA.ADA.address,Cardano,ADA,crypto.ADA.address,crypto.ADA.address,token.ADA.ADA.address,ADA,ADA,token.ADA.address,ADA,ADA,^[1-9a-km-zA-HJ-NP-Z]{104}$|^A[1-9A-HJ-NP-Za-km-z]{58}$|^addr([0-9a-zA-Z]{99}|[0-9a-zA-Z]{54})$,TRUE
token.AE.AE.AE.address,Aeternity,AE,crypto.AE.address,crypto.AE.address,token.AE.AE.address,AE,AE,token.AE.address,AE,AE,"^ak_[a-km-zA-Z1-9]{48,52}$",TRUE
token.AKT.AKT.AKT.address,AKT,AKT,crypto.AKT.address,crypto.AKT.address,token.AKT.AKT.address,AKT,AKT,token.AKT.address,AKT,AKT,^[a-zA-Z0-9]*$,TRUE
token.ALGO.ALGO.ALGO.address,Algorand,ALGO,crypto.ALGO.address,crypto.ALGO.address,token.ALGO.ALGO.address,ALGO,ALGO,token.ALGO.address,ALGO,ALGO,^[a-zA-Z0-9]{58}$,TRUE
token.APT.APT.APT.address,Aptos,APT,crypto.APT.address,crypto.APT.address,token.APT.APT.address,APT,APT,token.APT.address,APT,APT,^0x[a-f0-9]{64}$,TRUE
token.AR.AR.AR.address,Arweave,AR,crypto.AR.address,crypto.AR.address,token.AR.AR.address,AR,AR,token.AR.address,AR,AR,^[a-zA-Z0-9-_]{43}$,TRUE
token.ARDR.ARDR.ARDR.address,ARDR,ARDR,crypto.ARDR.address,crypto.ARDR.address,token.ARDR.ARDR.address,ARDR,ARDR,token.ARDR.address,ARDR,ARDR,^[a-zA-Z0-9]*$,TRUE
token.ARK.ARK.ARK.address,Ark,ARK,crypto.ARK.address,crypto.ARK.address,token.ARK.ARK.address,ARK,ARK,token.ARK.address,ARK,ARK,^[a-zA-Z0-9]{34}$,TRUE
token.ARRR.ARRR.ARRR.address,Pirate Chain,ARRR,crypto.ARRR.address,crypto.ARRR.address,token.ARRR.ARRR.address,ARRR,ARRR,token.ARRR.address,ARRR,ARRR,"^zs1[a-zA-Z0-9]{76,77}$|^R[a-zA-Z0-9]{33}$",TRUE
token.ATOM.ATOM.ATOM.address,Cosmos,ATOM,crypto.ATOM.address,crypto.ATOM.address,token.ATOM.ATOM.address,ATOM,ATOM,token.ATOM.address,ATOM,ATOM,^(cosmos)1([qpzry9x8gf2tvdw0s3jn54khce6mua7l]+)$,TRUE
token.BCD.BCD.BCD.address,Bitcoin Diamond,BCD,crypto.BCD.address,crypto.BCD.address,token.BCD.BCD.address,BCD,BCD,token.BCD.address,BCD,BCD,^[a-zA-Z0-9]{34}$,TRUE
token.BCH.BCH.BCH.address,Bitcoin Cash,BCH,crypto.BCH.address,crypto.BCH.address,token.BCH.BCH.address,BCH,BCH,token.BCH.address,Bitcoin Cash,BCH,^[13][a-km-zA-HJ-NP-Z1-9]{33}$|^((bitcoincash|bchreg|bchtest):)?(q|p)[a-z0-9]{41}$|^((BITCOINCASH:)?(Q|P)[A-Z0-9]{41})$,TRUE
token.BEAM.BEAM.BEAM.address,Beam,BEAM,crypto.BEAM.address,crypto.BEAM.address,token.BEAM.BEAM.address,BEAM,BEAM,token.BEAM.address,BEAM,BEAM,,TRUE
token.BNB.BNB.BNB.address,Binance Coin,BNB,crypto.BNB.address|crypto.BNB.version.BEP2.address,crypto.BNB.address,token.BNB.BNB.address,BNB Beacon Chain,BNB,token.BNB.address,Binance Chain,BNB,^bnb[a-zA-HJ-NP-Z0-9]{39}$,TRUE
token.BNB.BNB.EQL.address,Equal,EQL,crypto.EQL.address,crypto.EQL.address,token.BNB.BNB.address,BNB Beacon Chain,BNB,token.BNB.address,Binance Chain,BNB,^bnb[a-zA-HJ-NP-Z0-9]{39}$,TRUE
token.BNB.BNB.FTM.address,Fantom,FTM,crypto.FTM.version.BEP2.address,crypto.FTM.version.BEP2.address,token.BNB.BNB.address,BNB Beacon Chain,BNB,token.BNB.address,Binance Chain,BNB,^bnb[a-zA-HJ-NP-Z0-9]{39}$,TRUE
token.BNB.BNB.TUSD.address,TrueUSD,TUSD,crypto.TUSD.version.BEP2.address,crypto.TUSD.version.BEP2.address,token.BNB.BNB.address,BNB Beacon Chain,BNB,token.BNB.address,Binance Chain,BNB,^bnb[a-zA-HJ-NP-Z0-9]{39}$,TRUE
token.BNB.BNB.WRX.address,WRX,WRX,crypto.WRX.version.BEP2.address,crypto.WRX.version.BEP2.address,token.BNB.BNB.address,BNB Beacon Chain,BNB,token.BNB.address,Binance Chain,BNB,^bnb[a-zA-HJ-NP-Z0-9]{39}$,TRUE
token.BSV.BSV.BSV.address,Bitcoin SV,BSV,crypto.BSV.address,crypto.BSV.address,token.BSV.BSV.address,BSV,BSV,token.BSV.address,BSV,BSV,"^[a-zA-Z0-9]{33,34}$",TRUE
token.BTC.BTC.BTC.address,Bitcoin,BTC,crypto.BTC.address,crypto.BTC.address,token.BTC.BTC.address,BTC,BTC,token.BTC.address,Bitcoin,BTC,"^bc1[ac-hj-np-z02-9]{6,87}$|^[13][a-km-zA-HJ-NP-Z1-9]{25,39}$",TRUE
token.BTG.BTG.BTG.address,Bitcoin Gold,BTG,crypto.BTG.address,crypto.BTG.address,token.BTG.BTG.address,BTG,BTG,token.BTG.address,BTG,BTG,^[GA][a-km-zA-HJ-NP-Z1-9]{33}$,TRUE
token.CKB.CKB.CKB.address,CKB,CKB,crypto.CKB.address,crypto.CKB.address,token.CKB.CKB.address,CKB,CKB,token.CKB.address,CKB,CKB,^ckb1q[a-zA-Z0-9]+$,TRUE
token.CSPR.CSPR.CSPR.address,Casper,CSPR,crypto.CSPR.address,crypto.CSPR.address,token.CSPR.CSPR.address,CSPR,CSPR,token.CSPR.address,CSPR,CSPR,^[a-zA-Z0-9]*$,TRUE
token.DASH.DASH.DASH.address,Dash,DASH,crypto.DASH.address,crypto.DASH.address,token.DASH.DASH.address,DASH,DASH,token.DASH.address,DASH,DASH,^X[1-9A-HJ-NP-Za-km-z]{33}$,TRUE
token.DCR.DCR.DCR.address,Decred,DCR,crypto.DCR.address,crypto.DCR.address,token.DCR.DCR.address,DCR,DCR,token.DCR.address,DCR,DCR,^D[a-zA-Z0-9]*$,TRUE
token.DESO.DESO.DESO.address,DeSo,DESO,crypto.DESO.address,crypto.DESO.address,token.DESO.DESO.address,DESO,DESO,token.DESO.address,DESO,DESO,"^[a-zA-Z0-9]{54,55}$",TRUE
token.DGB.DGB.DGB.address,DigiByte,DGB,crypto.DGB.address,crypto.DGB.address,token.DGB.DGB.address,DGB,DGB,token.DGB.address,DGB,DGB,(^[a-km-zA-HJ-NP-Z1-9]{34}$)|(^[a-zA-Z1-9]{42}$)|(^dgb1[a-zA-Z0-9]{39}$),TRUE
token.DOGE.DOGE.DOGE.address,Dogecoin,DOGE,crypto.DOGE.address,crypto.DOGE.address,token.DOGE.DOGE.address,DOGE,DOGE,token.DOGE.address,DOGE,DOGE,^D[5-9A-HJ-NP-U]{1}[1-9A-HJ-NP-Za-km-z]{32}$,TRUE
token.DOT.DOT.DOT.address,Polkadot,DOT,crypto.DOT.address,crypto.DOT.address,token.DOT.DOT.address,DOT,DOT,token.DOT.address,DOT,DOT,^1[a-zA-Z0-9]*$,TRUE
token.EGLD.EGLD.EGLD.address,Elrond,EGLD,crypto.EGLD.address,crypto.EGLD.address,token.EGLD.EGLD.address,EGLD,EGLD,token.EGLD.address,EGLD,EGLD,^erd[a-zA-Z0-9]{59}$,TRUE
token.EOSIO.EOSIO.EOS.address,EOS,EOS,crypto.EOS.address,crypto.EOS.address,token.EOSIO.EOSIO.address,Eos.IO,EOSIO,token.EOSIO.address,EOSIO,EOSIO,^[1-5a-z]{12}$|^EOS[a-zA-Z0-9]{50}$|^PUB_K[0-9]_[a-zA-Z0-9]{50}$,TRUE
token.EOSIO.EOSIO.USDT.address,Tether,USDT,crypto.USDT.version.EOS.address,crypto.USDT.version.EOS.address,token.EOSIO.EOSIO.address,Eos.IO,EOSIO,token.EOSIO.address,EOSIO,EOSIO,^[1-5a-z]{12}$|^EOS[a-zA-Z0-9]{50}$|^PUB_K[0-9]_[a-zA-Z0-9]{50}$,TRUE
token.ERG.ERG.ERG.address,Ergo,ERG,crypto.ERG.address,crypto.ERG.address,token.ERG.ERG.address,ERG,ERG,token.ERG.address,ERG,ERG,^[a-zA-Z0-9]{51}$,TRUE
token.ETN.ETN.ETN.address,ETN,ETN,crypto.ETN.address,crypto.ETN.address,token.ETN.ETN.address,ETN,ETN,token.ETN.address,ETN,ETN,^[a-zA-Z0-9]*$,TRUE
token.EVM.ARB1.DOG.address,The Doge NFT,DOG,crypto.DOG.version.AETH.address,crypto.DOG.version.AETH.address,token.EVM.ARB1.address,Arbitrum One,ARB1,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ARB1.MOON.address,Moon,MOON,,,token.EVM.ARB1.address,Arbitrum One,ARB1,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ARBN.MOON.address,Moon,MOON,,,token.EVM.ARBN.address,Arbitrum Nova,ARBN,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.AVAX.AVAX.address,Avalanche,AVAX,crypto.AVAX.address,crypto.AVAX.address,token.EVM.AVAX.address,Avalanche C-Chain,AVAX,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.AVAX.TUSD.address,TrueUSD,TUSD,crypto.TUSD.version.AVAX.address,crypto.TUSD.version.AVAX.address,token.EVM.AVAX.address,Avalanche C-Chain,AVAX,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.AVAX.USDC.address,USD Coin,USDC,crypto.USDC.version.AVAX.address,crypto.USDC.version.AVAX.address,token.EVM.AVAX.address,Avalanche C-Chain,AVAX,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.BASE.BOOMER.address,Boomer,BOOMER,,,token.EVM.BASE.address,Base,BASE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
